Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Blackpoll Warbler,0.9604,0.0,0.0,0.0,0.0,14.0,24.0,16.0,27.0,TBD,no,"[['20250515_062802', 2], ['20250515_072802', 1], ['20250516_062702', 10], ['20250516_072702', 5], ['20250516_082702', 15], ['20250517_052600', 1], ['20250517_082602', 1], ['20250518_052500', 1], ['20250518_062502', 2], ['20250518_072502', 2], ['20250518_082502', 1], ['20250523_062102', 1], ['20250523_082102', 1], ['20250524_072002', 1], ['20250524_082002', 4], ['20250525_051900', 1], ['20250525_071902', 1], ['20250525_081902', 4], ['20250526_061802', 3], ['20250527_081702', 1], ['20250529_061602', 2], ['20250529_081602', 1], ['20250531_061502', 1], ['20250601_071402', 1], ['20250601_081402', 1], ['20250602_071402', 1], ['20250603_081302', 1], ['20250604_061302', 1], ['20250605_051200', 1], ['20250607_071202', 1], ['20250609_061102', 1], ['20250615_061002', 1], ['20250616_071002', 1], ['20250616_081002', 1], ['20250617_061102', 1], ['20250617_071102', 1], ['20250617_081102', 1], ['20250619_081102', 1], ['20250621_081102', 1], ['20250622_081102', 2], ['20250627_071302', 1]]"
Blue Jay,0.4716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TBD,no,"[['20250515_082802', 1]]"
Blue-headed Vireo,0.3682,,,,,,,,,NA,no,NA
Blue-winged Warbler,0.6313,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250521_082202', 1], ['20250611_071102', 1], ['20250620_204800', 1], ['20250629_061402', 1]]"
Broad-winged Hawk,0.8556,,,,,,,,,NA,no,NA
Brown Thrasher,0.5686,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250524_082002', 2]]"
Brown-headed Cowbird,0.9960,0.0,0.0,0.0,0.0,10.0,41.0,66.0,229.0,TBD,no,"[['20250518_082502', 1], ['20250521_052200', 1], ['20250522_072102', 2], ['20250523_052100', 2], ['20250523_072102', 1], ['20250524_052000', 2], ['20250524_062002', 2], ['20250525_071902', 1], ['20250526_061802', 5], ['20250526_071802', 1], ['20250527_081702', 1], ['20250528_071702', 1], ['20250528_081702', 43], ['20250529_061602', 62], ['20250529_071602', 1], ['20250529_081602', 2], ['20250530_071502', 9], ['20250530_081502', 5], ['20250531_051500', 2], ['20250531_061502', 16], ['20250531_071502', 1], ['20250531_081502', 11], ['20250601_071402', 9], ['20250601_081402', 2], ['20250602_061402', 18], ['20250602_071402', 8], ['20250602_081402', 3], ['20250603_061302', 3], ['20250603_071302', 3], ['20250603_081302', 2], ['20250604_051300', 1], ['20250604_061302', 10], ['20250605_051200', 6], ['20250605_071202', 8], ['20250605_081202', 3], ['20250607_051200', 1], ['20250607_061202', 2], ['20250607_081202', 2], ['20250608_061102', 7], ['20250608_081102', 1], ['20250609_061102', 22], ['20250609_071102', 5], ['20250609_081102', 2], ['20250610_061102', 21], ['20250610_081102', 2], ['20250611_051100', 6], ['20250611_061102', 5], ['20250611_071102', 9], ['20250611_081102', 3], ['20250612_081102', 2], ['20250613_081102', 1], ['20250615_081002', 1], ['20250617_061102', 1], ['20250619_061102', 1], ['20250619_071102', 3], ['20250624_061202', 1]]"
Canada Goose,0.9769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,TBD,no,"[['20250517_072602', 2], ['20250517_082602', 1], ['20250518_052500', 6], ['20250518_062502', 5], ['20250518_072502', 11], ['20250518_082502', 4], ['20250519_052400', 5], ['20250524_062002', 1], ['20250526_051800', 2], ['20250527_051700', 1], ['20250528_051700', 5], ['20250529_051600', 5], ['20250601_051400', 1], ['20250601_203700', 5], ['20250601_213702', 5], ['20250602_051400', 5], ['20250604_214002', 7], ['20250605_204000', 9], ['20250616_204700', 1], ['20250622_214802', 1]]"
Canada Warbler,0.9988,4.0,2.0,1.0,4.0,4.0,6.0,4.0,35.0,TBD,no,"[['20250518_062502', 1], ['20250518_072502', 8], ['20250518_082502', 4], ['20250519_062402', 5], ['20250523_082102', 1], ['20250524_072002', 35], ['20250601_203700', 1], ['20250604_204000', 1], ['20250605_071202', 1], ['20250605_081202', 1], ['20250610_204400', 1], ['20250623_204800', 1]]"
Cedar Waxwing,0.4842,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250621_204800', 1], ['20250627_071302', 1]]"
Chestnut-sided Warbler,0.9122,35.0,35.0,27.0,29.0,20.0,13.0,7.0,2.0,TBD,no,"[['20250516_062702', 1], ['20250516_082702', 2], ['20250517_072602', 3], ['20250517_082602', 3], ['20250522_072102', 3], ['20250522_082102', 2], ['20250526_061802', 1], ['20250526_081802', 9], ['20250527_071702', 1], ['20250527_081702', 1], ['20250528_071702', 3], ['20250601_071402', 3], ['20250601_081402', 1], ['20250603_061302', 2], ['20250603_071302', 1], ['20250603_081302', 2], ['20250603_203900', 6], ['20250604_061302', 4], ['20250604_071302', 3], ['20250604_081302', 14], ['20250604_204000', 10], ['20250605_061202', 7], ['20250605_071202', 9], ['20250605_081202', 9], ['20250606_204100', 4], ['20250607_051200', 1], ['20250607_061202', 17], ['20250607_071202', 7], ['20250607_081202', 6], ['20250608_051100', 1], ['20250608_061102', 1], ['20250608_081102', 3], ['20250610_051100', 1], ['20250610_081102', 3], ['20250610_204400', 1], ['20250611_081102', 1], ['20250611_204400', 1], ['20250612_071102', 1], ['20250616_071002', 2], ['20250617_081102', 1], ['20250618_204700', 1], ['20250622_204800', 3], ['20250623_061202', 1], ['20250623_204800', 2], ['20250624_061202', 1], ['20250626_071302', 2], ['20250627_071302', 3], ['20250627_081302', 2], ['20250628_051400', 1], ['20250629_204800', 1]]"
Chipping Sparrow,0.5652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,TBD,no,"[['20250621_061102', 2]]"
Common Grackle,0.9648,0.0,0.0,0.0,0.0,7.0,14.0,16.0,25.0,TBD,no,"[['20250525_081902', 1], ['20250615_071002', 1], ['20250618_204700', 7], ['20250621_071102', 4], ['20250622_061102', 28], ['20250622_071102', 12], ['20250623_081202', 3], ['20250624_051200', 2], ['20250624_071202', 1], ['20250626_214802', 2], ['20250627_061302', 1]]"
Common Loon,0.4066,,,,,,,,,NA,no,NA
Common Nighthawk,0.2566,,,,,,,,,NA,no,NA
Common Raven,0.7308,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250601_051400', 1], ['20250623_214802', 2]]"
Connecticut Warbler,0.8173,,,,,,,,,NA,no,NA
Cooper's Hawk,0.6827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250630_204800', 1]]"
Downy Woodpecker,0.8996,0.0,0.0,8.0,14.0,4.0,10.0,8.0,12.0,TBD,no,"[['20250524_082002', 1], ['20250525_081902', 1], ['20250527_071702', 3], ['20250531_081502', 1], ['20250603_071302', 4], ['20250603_203900', 1], ['20250604_061302', 1], ['20250604_071302', 1], ['20250607_071202', 1], ['20250607_204200', 2], ['20250607_214202', 5], ['20250608_051100', 1], ['20250608_061102', 1], ['20250608_071102', 1], ['20250608_081102', 2], ['20250609_061102', 3], ['20250609_081102', 9], ['20250609_214302', 1], ['20250610_081102', 4], ['20250611_081102', 1], ['20250612_071102', 1], ['20250621_214802', 4], ['20250622_061102', 1], ['20250624_204800', 3], ['20250624_214802', 1], ['20250626_051300', 1], ['20250626_061302', 1]]"
Eastern Bluebird,0.7076,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250516_082702', 1]]"
Eastern Kingbird,0.6411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250610_061102', 1]]"
Eastern Phoebe,0.4925,,,,,,,,,NA,no,NA
Eastern Towhee,0.3720,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,TBD,no,"[['20250606_204100', 1], ['20250610_204400', 1], ['20250611_204400', 1]]"
Eastern Whip-poor-will,0.3757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TBD,no,"[['20250522_052100', 1]]"
Eastern Wood-Pewee,0.9828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,TBD,no,"[['20250518_072502', 1], ['20250523_072102', 1], ['20250524_072002', 3], ['20250526_051800', 16], ['20250526_081802', 1], ['20250527_061702', 1], ['20250528_061702', 1], ['20250530_081502', 2], ['20250601_203700', 4], ['20250601_213702', 3], ['20250603_203900', 15], ['20250603_213902', 21], ['20250604_204000', 11], ['20250604_214002', 2], ['20250606_204100', 1], ['20250607_061202', 2], ['20250607_071202', 2], ['20250607_204200', 55], ['20250609_204300', 4], ['20250610_081102', 2], ['20250610_204400', 122], ['20250610_214402', 73], ['20250611_204400', 280], ['20250611_214402', 46], ['20250613_081102', 2], ['20250613_204500', 2], ['20250613_214502', 3], ['20250614_204600', 145], ['20250614_214602', 1], ['20250615_061002', 2], ['20250615_071002', 3], ['20250615_204600', 22], ['20250615_214602', 1], ['20250616_061002', 2], ['20250616_204700', 26], ['20250616_214702', 3], ['20250617_204700', 109], ['20250617_214702', 7], ['20250618_081102', 1], ['20250618_204700', 229], ['20250618_214702', 42], ['20250619_061102', 10], ['20250619_204800', 197], ['20250620_071102', 1], ['20250620_204800', 13], ['20250621_204800', 88], ['20250621_214802', 4], ['20250622_204800', 17], ['20250623_081202', 3], ['20250623_204800', 14], ['20250624_061202', 6], ['20250624_071202', 2], ['20250624_081202', 3], ['20250624_204800', 19], ['20250624_214802', 1], ['20250626_051300', 1], ['20250626_204800', 19], ['20250627_071302', 1], ['20250627_204800', 5], ['20250628_081402', 1], ['20250629_061402', 1], ['20250629_204800', 26], ['20250630_081502', 1], ['20250630_204800', 26], ['20250630_214802', 2]]"
Golden-winged Warbler,0.5979,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250521_082202', 1], ['20250617_081102', 1], ['20250622_071102', 2]]"
Grasshopper Sparrow,0.3278,,,,,,,,,NA,no,NA
Gray Catbird,0.9854,0.0,0.0,0.0,0.0,0.0,5.0,24.0,90.0,TBD,no,"[['20250518_052500', 2], ['20250522_062102', 3], ['20250524_082002', 79], ['20250531_071502', 1], ['20250615_204600', 2], ['20250616_061002', 1], ['20250617_061102', 3], ['20250618_071102', 1], ['20250619_061102', 1], ['20250629_071402', 26]]"
Gray Partridge,0.2587,,,,,,,,,NA,no,NA
Gray-cheeked Thrush,0.8878,3.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,TBD,no,"[['20250521_052200', 1], ['20250522_072102', 9], ['20250522_082102', 2], ['20250523_052100', 3], ['20250523_062102', 1]]"
Great Blue Heron,0.9455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,TBD,no,"[['20250605_071202', 1], ['20250621_081102', 1]]"
