"Common.Name","t60","t65","t70","t75","t80","t85","t90","t95"
"Cedar Waxwing",0.25,0.25,0.25,0.25,0.296899148700983,0.371364238260832,0.47026931979174,0.630017576912086
"Chestnut-sided Warbler",0.396815096446593,0.434377427834247,0.47452240382077,0.518722313006444,0.569318379311489,0.630576797145779,0.711940679821101,0.843356965503703
"Chimney Swift",0.272771601496776,0.318361747195651,0.367086499805254,0.420732805165156,0.482142253125968,0.556492808354436,0.655245764541103,0.814748313774348
"Chipping Sparrow",0.25,0.25,0.25,0.266890983139694,0.291292547628475,0.320836370744128,0.360076694649734,0.423456384102792
"Clay-colored Sparrow",0.419317665448848,0.460197240849372,0.503887542067806,0.551990879999751,0.607055239188243,0.673723574679173,0.762272949913064,0.905295008474221
"Cliff Swallow",0.972128285553269,1.00268081663731,1.03533402482182,1.07128544342175,1.11243938225909,1.16226588785391,1.22844582032139,1.33533748558652
"Common Grackle",0.25,0.25,0.25,0.25,0.25,0.278295120894089,0.376670792814659,0.53556396482466
"Common Loon",0.690657473637599,0.728854126224929,0.769677036950537,0.814623357191768,0.866073847497983,0.928366746197954,1.01110463399389,1.14474016786774
"Common Nighthawk",0.747119439888015,0.776131119493972,0.807137533049353,0.841275818840863,0.880354246902605,0.927667859389406,0.990510148684818,1.09201096171693
"Common Raven",0.537370078489555,0.584068135767383,0.63397697578821,0.68892696995992,0.751828763194255,0.827986152767658,0.929138959666314,1.09251766938247
"Common Yellowthroat",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Connecticut Warbler",0.889610663110726,0.898008817068705,0.906984396499458,0.916866574430298,0.928178799704939,0.941874904424457,0.9600661717948,0.989448112664182
"Cooper1s Hawk",0.660819502533994,0.691612029428628,0.724521734632809,0.76075555830829,0.802232768984645,0.852450671042371,0.919150459180526,1.02688177834472
"Dickcissel",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Downy Woodpecker",0.25,0.25,0.25,0.275425613471846,0.329725282591424,0.395467781210514,0.482787453078238,0.623823334928558
"Eastern Bluebird",0.446539721947586,0.479132073279736,0.513965352078919,0.552317044207967,0.596218599519328,0.649371739975434,0.719970133417368,0.833998352526826
"Eastern Kingbird",0.25,0.25,0.25,0.25,0.25,0.316315892445091,0.466208845143007,0.708311046339125
"Eastern Meadowlark",0.25,0.25,0.250791708541358,0.288225097190898,0.331075461570121,0.382955888591228,0.45186385465574,0.563161750680159
"Eastern Phoebe",0.548889962493481,0.590955199444868,0.635912683842012,0.685411199627331,0.742072632485817,0.810674600635042,0.901792241036542,1.04896247760835
"Eastern Towhee",0.25,0.25,0.25,0.25,0.25,0.25,0.266977506706929,0.487045225195234
"Eastern Whip-poor-will",0.25,0.25,0.25,0.25,0.25,0.25,0.327948012875173,0.52157704922815
"Eastern Wood-Pewee",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Eurasian Collared Dove",0.379998724372839,0.419917825078275,0.462581612974838,0.509554752308089,0.563325362158835,0.628427310313906,0.714896198327841,0.854557921886947
"European Starling",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.34902074428175
"Field Sparrow",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Golden-winged Warbler",0.487553310398292,0.512455063366607,0.539068967190049,0.568371067967674,0.601913467966594,0.642524418666013,0.696464183107517,0.78358592878162
"Grasshopper Sparrow",0.423573638646511,0.461825592212848,0.50270760620474,0.54771899957002,0.599243979714783,0.661627065853965,0.744484741272276,0.878313752201124
"Gray Catbird",0.25,0.25,0.25,0.25,0.25,0.25,0.282076544813426,0.421426751931975
"Gray Partridge",0.895161964573231,0.912688094558805,0.931419255309886,0.952042398898713,0.975649912119055,1.00423234973706,1.04219575432933,1.10351300541593
"Gray-cheeked Thrush",0.625116541665621,0.655368022435788,0.687699481219367,0.723296651399624,0.764045078622547,0.813380617197076,0.878908443644707,0.984746848566523
"Great Blue Heron",0.584680603023539,0.613287766588111,0.643861851100867,0.677524139486656,0.716057688684513,0.762711597373163,0.824677663215035,0.924763228745358
"Great Crested Flycatcher",0.25,0.25,0.25,0.25,0.25,0.25,0.285554160683125,0.42207360628483
"Great Horned Owl",0.780992320507514,0.812597010697862,0.846374720490658,0.883564223502015,0.926135409617125,0.977677825800588,1.04613684337591,1.15670961246473
"Green Heron",0.324107848104267,0.346953083107193,0.371369070526451,0.398251249431528,0.429023541306423,0.466280625721363,0.515765760211156,0.595692533090262
"Green-winged teal",0.697727635601566,0.739325878810417,0.783784260732093,0.832733261078731,0.88876565826535,0.956606031040981,1.04671211484644,1.19224851824513
"Hairy Woodpecker",0.25,0.25,0.25,0.253374136135935,0.289365669289675,0.332941870710863,0.390820103045574,0.484303133417345
"Henslow1s Sparrow",0.549091780289146,0.569968000390015,0.592279590849872,0.616844813468131,0.644964862927294,0.679010785171619,0.724230830366939,0.79726877032959
"Hooded Merganser",0.772075228135567,0.793290268012712,0.815963974222039,0.840927888901958,0.869504325045135,0.904102810526587,0.950056774291562,1.0242801155557
"Hooded Warbler",0.73164773529895,0.752139508179671,0.774040218274791,0.798153058636958,0.825755261723896,0.859174209348248,0.903561502226036,0.975254407845866
"Horned Lark",0.979639075866414,1.03281297317069,1.08964290761645,1.1522130768544,1.22383775866499,1.31055625292794,1.42573639701976,1.61177160359092
"House Finch",0.461540553769996,0.498535991867035,0.538075097112899,0.581607938226984,0.631440405216964,0.691774306793049,0.771910240150981,0.901343182205036
"House Sparrow",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.416873039813029
"House Wren",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Indigo Bunting",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Killdeer",0.25,0.25,0.25,0.25,0.25,0.259129138016458,0.354216454427781,0.507798382027859
"Lark Bunting",0.82755253633341,0.841112069368216,0.855603904884307,0.871559520699347,0.889824069441388,0.911937594070934,0.941308940689179,0.98874858038126
"Lark Sparrow",0.376091537626911,0.399518074166674,0.424555331229617,0.452121532509995,0.483676831456454,0.521881929775636,0.572626223329705,0.654586748801113
"Least Flycatcher",0.25,0.25,0.25,0.25,0.260513566163226,0.297203518983796,0.345935385104324,0.424645503517638
"Lesser Yellowlegs",0.774447899954552,0.791532782427368,0.809792357146661,0.829896281100501,0.852909438550376,0.880772268958008,0.917779885942525,0.977553380104262
"Lincoln1s Sparrow",0.703743841142083,0.734575558993584,0.767527149777391,0.803807089779267,0.845337090263361,0.895618906778002,0.962403586569541,1.07027201995943
"Magnolia Warbler",0.363820576905765,0.414418397505239,0.46849513390302,0.52803401215872,0.596188745674094,0.678706052808171,0.788306149149255,0.965328644856298
"Mallard",0.25,0.25,0.258956236829455,0.301936769168825,0.351137002927988,0.410705437734608,0.489824672479933,0.617615476143659
"Merlin",0.613151517888014,0.653062731505939,0.695718090028525,0.742681948560003,0.796441934586617,0.861531020108184,0.947982823877368,1.08761695352238
"Mourning Dove",0.25,0.25,0.25,0.25,0.25,0.252884068095423,0.258052037162934,0.266399171997748
"Mourning Warbler",0.757163401913052,0.781271331051591,0.807036830705043,0.835404832349594,0.867877959977976,0.907194305415828,0.959414565594296,1.04375902414746
"Nashville Warbler",0.479306156011431,0.510661819109576,0.544173379644135,0.581069850395419,0.623305599629926,0.674441890711387,0.742361489928887,0.852063008105356
"Nelson1s Sparrow",0.895514884018097,0.915293692738319,0.936432417939394,0.959706307416925,0.986348155259523,1.01860436737649,1.06144730637198,1.13064582204485
"Northern Bobwhite",0.906189855034849,0.932388886372989,0.960389264546679,0.991217883621134,1.0265077039742,1.06923431729333,1.12598412044064,1.21764454884717
"Northern Cardinal",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Northern Flicker",0.25,0.25,0.25,0.25,0.25,0.25,0.298293542222154,0.419445924302208
"Northern Harrier",0.743843886081096,0.777513156384174,0.813497399051418,0.85311631073146,0.898468464598484,0.953377895195742,1.02630900616517,1.14410495443073
"Northern Parula",0.614740912505834,0.638529754797086,0.663954228392018,0.691946757877322,0.723990078870013,0.762786042460029,0.814315127627606,0.897543222879251
"Northern Rough-winged Swallow",0.912162200056359,0.956092314864793,1.00304289910487,1.05473583224606,1.11390923601317,1.18555253473897,1.28070969285833,1.43440442650397
"Northern Shoveler",0.939501162683975,0.964942952517173,0.99213402410874,1.0220715907774,1.05634141476768,1.09783308300227,1.15294262297398,1.24195375187572
"Northern Waterthrush",0.720921233644796,0.74887662088981,0.778754115395221,0.811649453140047,0.849305066473379,0.894896027665349,0.95545027879722,1.0532555273225
"Olive-sided Flycatcher",0.706790462866721,0.732970170184784,0.760949895691474,0.791755776030048,0.827019567130799,0.869714665928539,0.926422611255951,1.01801543227899
"Orange-crowned warbler",0.74811271359608,0.790514354236303,0.835831372174395,0.885725736991096,0.942840302089164,1.01199089320641,1.10383721868306,1.25218440358697
"Orchard Oriole",0.472599488558863,0.509991651479174,0.549954758854704,0.59395442938306,0.644321280547868,0.705302179636926,0.786297459866649,0.9171183909189
"Osprey",0.824150258331618,0.844587814493634,0.866430580132431,0.890479623228705,0.918008796964346,0.951339325412217,0.995609179287239,1.06711240126575
"Ovenbird",0.25,0.25,0.25,0.25,0.25,0.261158479340503,0.281625878392218,0.314684152807334
"Palm Warbler",0.977935254002845,1.00390889719175,1.03166839037495,1.06223179333103,1.09721801821166,1.1395770579295,1.19583864710677,1.28671052825556
"Peregrine Falcon",0.94261628310296,0.974311465646673,1.00818588970662,1.04548187582627,1.08817495419199,1.13986494956419,1.20851998290717,1.3194093502614
"Pied-billed Grebe",0.354046880582553,0.388366867062127,0.425046566702207,0.465431181544015,0.511659843273982,0.567630492436722,0.641971121736972,0.762043677970933
"Pileated Woodpecker",0.45763340682287,0.488542694168738,0.521577187833533,0.55794840450754,0.599582890286749,0.649991210783479,0.716943914097672,0.825083733593147
"Pine Warbler",0.512311015025074,0.567843061706014,0.627193283008345,0.692538306320686,0.767339390601817,0.857903665850514,0.978191804630779,1.17247727737863
"Prairie Warbler",0.858468449324091,0.881671160865312,0.906469203564831,0.933772028099317,0.965025837120934,1.00286591109855,1.05312537662815,1.13430282371053
"Purple Finch",0.747629783414408,0.770338155669182,0.794607870172593,0.821329001538399,0.851916940727386,0.888950822931426,0.938139498597393,1.01758744086758
"Purple Martin",0.552515166410969,0.587771248868525,0.625451406924494,0.666937533724889,0.714427106916423,0.771924385455823,0.848292695161194,0.971640294554732
"Red-bellied Woodpecker",0.25,0.25,0.25,0.25,0.25,0.25,0.369095750871859,0.595249888875291
"Red-breasted Nuthatch",0.872371026530554,0.916779365675911,0.964241055159267,1.01649671887338,1.07631428580518,1.14873749528646,1.24493053662724,1.40029839501673
"Red-eyed Vireo",0.250395041975218,0.251353444792349,0.252377743781729,0.253505504384321,0.254796462924196,0.256359471343973,0.258435470662651,0.26178855695315
"Red-headed Woodpecker",0.434457417497692,0.471236857130289,0.510545112669871,0.553823786586131,0.603365305910593,0.663346947025266,0.743015005438549,0.871692251164357
"Red-shouldered Hawk",0.603084213221232,0.628192738214446,0.655027630929355,0.684573042076307,0.718393961823479,0.759342126072478,0.813729780039284,0.901574942245097
"Red-tailed Hawk",0.759597583893128,0.786307324514337,0.814853526420141,0.846283101375076,0.882260841774476,0.925820343828103,0.98367639593957,1.07712360153924
"Red-winged Blackbird",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Ring-billed Gull",0.467946741557117,0.492329693396141,0.518389125276344,0.547080748430432,0.579924328751047,0.619689194152327,0.672505181856446,0.757811840050605
