Coturnicops noveboracensis,Yellow Rail ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/yellow_rail
Rallus limicola,Virginia Rail ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Virginia_Rail
Porzana carolina,Sora ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/sora
Gallinula galeata,Common Gallinule ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Common_Gallinule
Fulica americana,American Coot ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/American_Coot
Grus canadensis,Sandhill Crane ,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/Sandhill_Crane
Charadrius vociferus,Killdeer ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Killdeer
Actitis macularius,Spotted Sandpiper ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Spotted_Sandpiper
Tringa solitaria,Solitary Sandpiper ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Solitary_Sandpiper
Tringa semipalmata,Willet ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/willet
Bartramia longicauda,Upland Sandpiper ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Upland_Sandpiper
Limosa fedoa,Marbled Godwit ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Marbled_Godwit
Gallinago delicata,Wilson's Snipe ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/wilsons_snipe
Scolopax minor,American Woodcock ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/American_Woodcock
Phalaropus tricolor,Wilson's Phalarope ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Wilsons_Phalarope
Leucophaeus pipixcan,Franklin's Gull ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Franklins_Gull
Larus delawarensis,Ring-billed Gull ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Ring-billed_Gull
Larus smithsonianus,American Herring Gull ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/American_Herring_Gull
Chlidonias niger,Black Tern ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/black_tern
Sterna hirundo,Common Tern ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Common_Tern
Sterna forsteri,Forster's Tern ,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Forsters_Tern
Columba livia,Rock Pigeon ,Other Land Birds,https://www.allaboutbirds.org/guide/Rock_Pigeon
Streptopelia decaocto,Eurasian Collared-Dove ,Other Land Birds,https://www.allaboutbirds.org/guide/Eurasian_Collared-Dove
Zenaida macroura,Mourning Dove ,Other Land Birds,https://www.allaboutbirds.org/guide/Mourning_Dove
Coccyzus americanus,Yellow-billed Cuckoo ,Other Land Birds,https://www.allaboutbirds.org/guide/Yellow-billed_Cuckoo
